ref	value	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
BT1	Rechar. Lithium batt 3.7V 900mAh								
C1	C								
C2	4.7uF								
C3	47uF low ESR								
C4	100nF								
C5	10nF								
C6	2.2uF								
C7	33pF								
C8	15pF								
C9	10nF								
C10	15pF								
C11	2.2uF								
C12	10pF								
C13	10pF								
C14	1nF								
C15	10nF								
C16	100nF								
C17	2.2uF								
C18	100nF								
C19	100nF								
C20	100nF								
C21	100nF								
C22	1nF								
C23	2.2uF								
C24	100nF								
C25	100nF								
C26	100nF								
C27	100nF								
D1	LED								
D2	LED								
D3	LED								
D4	LED								
D5	LED								
D6	LED								
D7	LED								
D8	LED								
D9	LED								
D10	LED								
D11	LED								
D12	LED								
D13	LED								
D14	LED								
D15	LED								
D16	LED								
D17	LED								
D18	LED								
D19	LED								
D20	LED								
D21	LED								
D22	LED								
D23	LED								
D24	LED								
D25	LED								
D26	LED								
D27	LED								
D28	LED								
D29	LED								
D30	LED								
D31	LED								
D32	LED								
D33	LED								
D34	LED								
D35	LED								
D36	LED								
D37	LED								
D38	LED								
D39	LED								
D40	LED								
D41	LED								
D42	LED								
D43	LED								
D44	LED								
D45	LED								
D46	LED								
D47	LED								
D48	LED								
D49	LED								
D50	LED								
D51	LED								
D52	LED								
D53	LED								
D54	LED								
D55	LED								
D56	LED								
D57	LED								
D58	LED								
D59	LED								
D60	LED								
D61	LED								
D62	LED								
D63	LED								
D64	LED								
F1	2A								
IC1	AT45DBXX1								
IC2	AT91SAM7S512/256/128/64/321-AU								
P1	CONN_2								
Q1	BSH207								
Q2	BSH207								
Q3	2N2002K								
R1	2K	NA							
R2	47K								
R3	47K								
R4	47K								
R5	1M								
R6	47K								
R7	47K								
R8	1M								
R9	1K5								
R10	27R								
R11	27R								
R12	300K								
R13	300K								
R14	1K5								
R15	R_MINI								
R16	R_MINI								
R17	R_MINI								
R18	R_MINI								
R19	R_MINI								
R20	R_MINI								
R21	R_MINI								
R22	R_MINI								
R23	R_MINI								
R24	R_MINI								
R25	R_MINI								
R26	R_MINI								
R27	R_MINI								
R28	R_MINI								
R29	R_MINI								
R30	R_MINI								
R31	R_MINI								
R32	R_MINI								
R33	R_MINI								
R34	R_MINI								
R35	R_MINI								
R36	R_MINI								
R37	R_MINI								
R38	R_MINI								
R39	R_MINI								
R40	R_MINI								
R41	R_MINI								
R42	R_MINI								
R43	R_MINI								
R44	R_MINI								
R45	R_MINI								
R46	R_MINI								
R47	R_MINI								
R48	R_MINI								
R49	R_MINI								
R50	R_MINI								
R51	R_MINI								
R52	R_MINI								
R53	R_MINI								
R54	R_MINI								
R55	R_MINI								
R56	R_MINI								
R57	R_MINI								
R58	R_MINI								
R59	R_MINI								
R60	R_MINI								
R61	R_MINI								
R62	R_MINI								
R63	R_MINI								
R64	R_MINI								
R65	R_MINI								
R66	R_MINI								
R67	R_MINI								
R68	R_MINI								
R69	R_MINI								
R70	R_MINI								
R71	R_MINI								
R72	R_MINI								
R73	R_MINI								
R74	R_MINI								
R75	R_MINI								
R76	R_MINI								
R77	R_MINI								
R78	R_MINI								
SW1	bootloader								
U1	CONN_MICROSD								
U2	MCP73811/2								
U3	CONN_JTAG_ARM								
U4	USBCONN								
U5	AH173								
U6	FAN2502-XX								
U7	74x595								
U8	74x595								
U9	74x595								
U10	74x595								
U11	74x595								
U12	74x595								
U13	74x595								
U14	74x595								
X1	18.432 MHz								
