ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
BT1	BATTERY_HOLDER		Rechargeable Lith. 3,7V							
C1	4.7uF									
C2	100nF									
C3	47uF low ESR									
C4	100nF	SM0805								
C5	10nF	SM0805								
C6	100uF									
C7	33pF	SM0805								
C8	4.7uF	SM0805								
C9	15pF	SM0805								
C10	15pF	SM0805								
C11	10nF									
C12	4.7uF	SM0805								
C13	10pF	SM0805								
C14	10pF	SM0805								
C15	1nF	SM0805								
C16	10nF	SM0805								
C17	100nF									
C18	4.7uF	SM0805								
C19	100nF	SM0805								
C20	100nF	SM0805								
C21	100nF	SM0805								
C22	100nF	SM0805								
C23	1nF									
C24	4.7uF	SM0805								
C25	100nF	SM0805								
C26	100nF	SM0805								
C27	100nF	SM0805								
C28	100nF									
C29	100nF									
D1	LED									
D2	LED									
D3	LED									
D4	LED									
D5	LED									
D6	LED									
D7	LED									
D8	LED									
D9	LED									
D10	LED									
D11	LED									
D12	LED									
D13	LED									
D14	LED									
D15	LED									
D16	LED									
D17	LED									
D18	LED									
D19	LED									
D20	LED									
D21	LED									
D22	LED									
D23	LED									
D24	LED									
D25	LED									
D26	LED									
D27	LED									
D28	LED									
D29	LED									
D30	LED									
D31	LED									
D32	LED									
D33	LED									
D34	LED									
D35	LED									
D36	LED									
D37	LED									
D38	LED									
D39	LED									
D40	LED									
D41	LED									
D42	LED									
D43	LED									
D44	LED									
D45	LED									
D46	LED									
D47	LED									
D48	LED									
D49	LED									
D50	LED									
D51	LED									
D52	LED									
D53	LED									
D54	LED									
D55	LED									
D56	LED									
D57	LED									
D58	LED									
D59	LED									
D60	LED									
D61	LED									
D62	LED									
D63	LED									
D64	LED									
F1	2A									
IC1	AT45DBXX1		NA							
IC2	AT91SAM7S512/256/128/64/321-AU	at91sam7sxxx-au-LQFP64								
J1	CONN_USB									
J2	CONN_MICRO_SD									
P1	CONN_2	SM0805								
Q1	NTR417P	SM0805								
Q2	NTR417P	SM0805								
Q3	2N2002K	SM0805								
R1	2K	SM0805	NA							
R2	47K	SM0805								
R3	47K	SM0805								
R4	1M	SM0805								
R5	47K									
R6	47K									
R7	47K									
R8	1M	SM0805								
R9	R	SM0805								
R10	R									
R11	1K5									
R12	27R									
R13	27R									
R14	300K									
R15	300K									
R16	1K5									
R17	1K									
R18	82R									
R19	82R									
R20	82R									
R21	82R									
R22	82R									
R23	82R									
R24	82R									
R25	82R									
R26	82R									
R27	82R									
R28	82R									
R29	82R									
R30	82R									
R31	82R									
R32	82R									
R33	82R									
R34	82R									
R35	82R									
R36	82R									
R37	82R									
R38	82R									
R39	82R									
R40	82R									
R41	82R									
R42	82R									
R43	82R									
R44	82R									
R45	82R									
R46	82R									
R47	82R									
R48	82R									
R49	82R									
R50	82R									
R51	82R									
R52	82R									
R53	82R									
R54	82R									
R55	82R									
R56	82R									
R57	82R									
R58	82R									
R59	82R									
R60	82R									
R61	82R									
R62	82R									
R63	82R									
R64	82R									
R65	82R									
R66	82R									
R67	82R									
R68	82R									
R69	82R									
R70	82R									
R71	82R									
R72	82R									
R73	82R									
R74	82R									
R75	82R									
R76	82R									
R77	82R									
R78	82R									
R79	82R									
R80	82R									
R81	82R									
SW1	bootloader									
U1	CONN_JTAG_ARM									
U3	MCP73811/2									
U4	AH173									
U5	FAN2502-XX									
U6	74x595									
U7	74x595									
U8	74x595									
U9	74x595									
U10	74x595									
U11	74x595									
U12	74x595									
U13	74x595									
X1	18.432 MHz									
